Model,Best Epochs,Best Val Accuracy,Best Train Accuracy,Best Val Loss,Test Accuracy,Test Loss
VGG16,16,0.8737517595291138,0.8222618103027344,0.3561934232711792,0.8619999885559082,0.3717556297779083
MobileNetV2,21,0.9290299415588379,0.9690116047859192,0.21287225186824799,0.9273333549499512,0.21146215498447418
CustomModel1,24,0.8245363831520081,0.826001763343811,0.5062066316604614,0.840666651725769,0.4688565135002136
CustomModel2,25,0.8352353572845459,0.8271594047546387,0.47136715054512024,0.8323333263397217,0.48080354928970337
